Data,ID_Transacao,Produto,Categoria,Região,Quantidade,Preço_Unitário,Receita_Total
2024-02-01,T-24020001,Caixa de Som Bluetooth,Áudio e Vídeo,Sudeste,8,"R$ 587,73","R$ 4.701,84"
2024-02-06,T-24020002,Cabo HDMI 2m,Acessórios,Centro-Oeste,6,"R$ 120,06","R$ 720,36"
2024-02-28,T-24020003,Câmera Full HD,Eletrônicos,Centro-Oeste,2,"R$ 2.029,46","R$ 4.058,92"
2024-02-09,T-24020004,Caixa de Som Bluetooth,Áudio e Vídeo,Norte,6,"R$ 312,38","R$ 1.874,28"
2024-02-09,T-24020005,Webcam 1080p,Periféricos,Sul,2,"R$ 1.466,73","R$ 2.933,46"
2024-02-18,T-24020006,Fone Bluetooth,Áudio e Vídeo,Nordeste,4,"R$ 496,48","R$ 1.985,92"
2024-02-27,T-24020007,Placa de Vídeo Xtreme,Eletrônicos,Sudeste,6,"R$ 5.779,51","R$ 34.677,06"
2024-02-16,T-24020008,Placa de Vídeo Xtreme,Eletrônicos,Sudeste,2,"R$ 1.922,53","R$ 3.845,06"
2024-02-04,T-24020009,Teclado Mecânico,Periféricos,Centro-Oeste,7,"R$ 825,11","R$ 5.775,77"
2024-02-17,T-24020010,Webcam 1080p,Periféricos,Norte,10,"R$ 438,52","R$ 4.385,20"
2024-02-14,T-24020011,Mouse Óptico,Acessórios,Sul,7,"R$ 59,64","R$ 417,48"
2024-02-26,T-24020012,Mouse Gamer RGB,Acessórios,Centro-Oeste,8,"R$ 33,54","R$ 268,32"
2024-02-03,T-24020013,Notebook X1,Eletrônicos,Sul,2,"R$ 3.268,88","R$ 6.537,76"
2024-02-07,T-24020014,Câmera Full HD,Eletrônicos,Nordeste,5,"R$ 5.537,28","R$ 27.686,40"
2024-02-11,T-24020015,SSD Externo 1TB,Armazenamento,Nordeste,7,"R$ 661,98","R$ 4.633,86"
2024-02-21,T-24020016,HD Externo 2TB,Armazenamento,Sudeste,9,"R$ 921,37","R$ 8.292,33"
2024-02-08,T-24020017,Placa de Vídeo Xtreme,Eletrônicos,Sudeste,4,"R$ 4.919,64","R$ 19.678,56"
2024-02-15,T-24020018,Teclado Wireless,Periféricos,Nordeste,3,"R$ 752,69","R$ 2.258,07"
2024-02-01,T-24020019,SSD Externo 1TB,Armazenamento,Norte,8,"R$ 854,93","R$ 6.839,44"
2024-02-19,T-24020020,Placa de Vídeo Xtreme,Eletrônicos,Sul,5,"R$ 6.389,48","R$ 31.947,40"
2024-02-05,T-24020021,SSD Externo 1TB,Armazenamento,Centro-Oeste,10,"R$ 933,06","R$ 9.330,60"
2024-02-27,T-24020022,Impressora Wi-Fi,Periféricos,Norte,5,"R$ 1.010,89","R$ 5.054,45"
2024-02-05,T-24020023,HD Externo 2TB,Armazenamento,Norte,9,"R$ 725,20","R$ 6.526,80"
2024-02-20,T-24020024,Notebook Pro Z3,Eletrônicos,Centro-Oeste,4,"R$ 6.408,98","R$ 25.635,92"
2024-02-03,T-24020025,Placa de Vídeo Xtreme,Eletrônicos,Sul,8,"R$ 5.474,95","R$ 43.799,60"
