Data,ID_Transacao,Produto,Categoria,Região,Quantidade,Preço_Unitário,Receita_Total
2024-11-11,T-202411-0001,Smartphone Pro,Eletrônicos,Centro-Oeste,7,1598.03,11186.21
2024-11-27,T-202411-0002,Smartphone Pro,Eletrônicos,Centro-Oeste,7,2698.35,18888.45
2024-11-07,T-202411-0003,Monitor 4K,Periféricos,Nordeste,4,329.3,1317.2
2024-11-15,T-202411-0004,Impressora Laser,Periféricos,Sudeste,10,697.41,6974.1
2024-11-27,T-202411-0005,Smartphone Pro,Eletrônicos,Sul,6,2434.84,14609.04
2024-11-05,T-202411-0006,HD Externo,Periféricos,Norte,3,744.55,2233.65
2024-11-09,T-202411-0007,Laptop X1,Eletrônicos,Sul,2,2116.9,4233.8
2024-11-05,T-202411-0008,Carregador Portátil,Acessórios,Norte,4,148.48,593.92
2024-11-29,T-202411-0009,Câmera Digital,Eletrônicos,Centro-Oeste,2,1230.91,2461.82
2024-11-29,T-202411-0010,Tablet Mini,Eletrônicos,Centro-Oeste,6,1515.66,9093.96
2024-11-04,T-202411-0011,Impressora Laser,Periféricos,Sudeste,1,300.88,300.88
2024-11-13,T-202411-0012,Câmera Digital,Eletrônicos,Sul,2,2212.9,4425.8
2024-11-06,T-202411-0013,Laptop X1,Eletrônicos,Norte,8,2436.25,19490.0
2024-11-10,T-202411-0014,Teclado Mecânico,Acessórios,Sudeste,10,96.86,968.6
2024-11-04,T-202411-0015,Tablet Mini,Eletrônicos,Norte,4,1959.72,7838.88
2024-11-25,T-202411-0016,Mouse Óptico,Acessórios,Centro-Oeste,9,48.59,437.31
2024-11-07,T-202411-0017,Câmera Digital,Eletrônicos,Nordeste,7,1761.77,12332.39
2024-11-30,T-202411-0018,Fone de Ouvido Bluetooth,Acessórios,Sudeste,5,30.65,153.25
2024-11-25,T-202411-0019,Câmera Digital,Eletrônicos,Centro-Oeste,10,2795.57,27955.7
2024-11-15,T-202411-0020,Laptop X1,Eletrônicos,Nordeste,10,2087.58,20875.8
2024-11-18,T-202411-0021,Mouse Óptico,Acessórios,Nordeste,9,44.59,401.31
2024-11-21,T-202411-0022,HD Externo,Periféricos,Nordeste,3,472.18,1416.54
2024-11-27,T-202411-0023,Impressora Laser,Periféricos,Centro-Oeste,1,363.57,363.57
2024-11-18,T-202411-0024,Webcam HD,Periféricos,Nordeste,8,359.52,2876.16
2024-11-30,T-202411-0025,Smartphone Pro,Eletrônicos,Centro-Oeste,1,2164.95,2164.95
2024-11-11,T-202411-0026,Câmera Digital,Eletrônicos,Norte,9,2215.62,19940.58
2024-11-03,T-202411-0027,Smartphone Pro,Eletrônicos,Centro-Oeste,8,2842.27,22738.16
2024-11-22,T-202411-0028,Carregador Portátil,Acessórios,Nordeste,2,66.92,133.84
2024-11-26,T-202411-0029,Tablet Mini,Eletrônicos,Sudeste,6,2932.1,17592.6
2024-11-08,T-202411-0030,Fone de Ouvido Bluetooth,Acessórios,Sul,8,83.81,670.48
2024-11-11,T-202411-0031,Webcam HD,Periféricos,Sudeste,4,587.54,2350.16
2024-11-03,T-202411-0032,Smartphone Pro,Eletrônicos,Sudeste,1,1993.26,1993.26
2024-11-29,T-202411-0033,Fone de Ouvido Bluetooth,Acessórios,Norte,5,89.42,447.1
2024-11-23,T-202411-0034,Mouse Óptico,Acessórios,Norte,5,30.33,151.65
2024-11-22,T-202411-0035,Tablet Mini,Eletrônicos,Sudeste,7,2924.96,20474.72
2024-11-06,T-202411-0036,HD Externo,Periféricos,Sul,7,653.42,4573.94
2024-11-23,T-202411-0037,Webcam HD,Periféricos,Norte,9,496.46,4468.14
2024-11-25,T-202411-0038,Mouse Óptico,Acessórios,Norte,3,54.51,163.53
2024-11-05,T-202411-0039,Carregador Portátil,Acessórios,Nordeste,9,40.93,368.37
2024-11-12,T-202411-0040,Tablet Mini,Eletrônicos,Nordeste,3,1414.31,4242.93
2024-11-19,T-202411-0041,Teclado Mecânico,Acessórios,Nordeste,9,37.91,341.19
